# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       15.621      539.848
       1.002       10.000       15.621      539.848
       2.004        9.000       15.621      539.848
       3.006       10.000       15.621      539.848
       4.007        8.000       15.621      603.848
       5.009       14.000       28.082      679.508
       6.012       15.000       28.082      679.508
       7.013       12.000       28.082      679.508
       8.015       15.000       28.082      679.508
       9.016       15.000       28.082      679.508
      10.018       15.000       28.082      679.508
      11.020       13.000       28.082      679.508
      12.021       14.000       28.082      679.508
      13.024       13.000       28.082      679.508
      14.026       13.000       28.082      679.508
      15.030       12.000       28.082      679.508
      16.031       13.000       28.082      679.508
      17.034       40.900       28.363      679.762
      18.036       12.000       28.363      679.762
      19.037       15.000       28.363      679.762
      20.039       15.000       28.363      679.762
      21.042       13.000       28.363      679.762
      22.044       14.000       28.363      679.762
      23.046       38.900       28.363      679.910
      24.048       12.000       28.363      679.910
      25.050       13.000       28.363      679.910
      26.051       13.000       28.363      679.910
      27.053       14.000       28.363      679.910
      28.056       45.900       28.621      680.051
      29.058       10.000       28.621      680.051
      30.060       13.000       28.621      680.051
      31.062       44.900       28.621      680.051
      32.063       17.000       28.621      680.051
      33.065       13.000       28.621      680.051
      34.067       29.900       28.621      680.051
      35.068       35.000       29.910      681.418
      36.070       13.000       29.910      681.418
      37.072       15.000       29.910      681.418
      38.073       47.900       29.910      681.418
      39.075       14.000       29.910      681.418
      40.077       13.000       29.910      681.418
      41.079       12.000       29.910      681.418
      42.081       17.000       29.910      681.418
      43.083       45.900       30.426      681.930
      44.085       13.000       30.426      681.930
      45.087       14.000       30.426      681.930
      46.089       13.000       30.426      681.930
      47.092       37.900       30.426      681.930
      48.093       26.000       30.426      681.930
      49.094       13.000       30.426      681.930
      50.096       13.000       30.426      681.930
      51.098       50.900       31.199      682.699
      52.100       13.000       31.199      682.699
      53.102       13.000       31.199      682.699
      54.104       14.000       31.199      682.699
      55.106       12.000       31.199      682.699
      56.108       45.900       31.973      683.430
      57.109       14.000       31.973      683.430
      58.112       14.000       31.973      683.430
      59.114       13.000       31.973      683.430
      60.116       14.000       31.973      683.430
      61.118       47.900       31.973      683.430
